Date : 2023-03-05 16:05:46
Directory : e:\Graphics\Toy\SoftRenderer
Total : 1984 files,  433640 codes, 65246 comments, 59524 blanks, all 558410 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\core\core_type_vec3.cpp                                                | C++              |        478 |         27 |        124 |        629 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\core\core_type_vec4.cpp                                                | C++              |        612 |         66 |        173 |        851 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_clip_space.cpp                                          | C++              |         11 |          0 |          3 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_common.cpp                                              | C++              |        213 |          9 |         15 |        237 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int2x2_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int2x3_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int2x4_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int3x2_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int3x3_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int3x4_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int4x2_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int4x3_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_int4x4_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_integer.cpp                                             | C++              |        200 |          0 |         38 |        238 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_projection.cpp                                          | C++              |         11 |          0 |          3 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_relational.cpp                                          | C++              |        129 |          0 |         35 |        164 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_transform.cpp                                           | C++              |         46 |          0 |         16 |         62 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint2x2_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint2x3_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint2x4_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint3x2_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint3x3_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint3x4_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint4x2_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint4x3_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_matrix_uint4x4_sized.cpp                                       | C++              |         21 |          0 |          8 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_common.cpp                                          | C++              |         47 |          0 |         15 |         62 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_exponential.cpp                                     | C++              |         67 |          0 |         21 |         88 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_geometric.cpp                                       | C++              |         70 |          0 |         19 |         89 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_relational.cpp                                      | C++              |         41 |          0 |         11 |         52 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_transform.cpp                                       | C++              |         32 |          2 |         12 |         46 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_trigonometric.cpp                                   | C++              |         31 |          0 |         10 |         41 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_quaternion_type.cpp                                            | C++              |         85 |          4 |         25 |        114 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_common.cpp                                              | C++              |        278 |          0 |         83 |        361 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_constants.cpp                                           | C++              |         27 |          0 |         10 |         37 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_int_sized.cpp                                           | C++              |         33 |          0 |         11 |         44 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_integer.cpp                                             | C++              |        542 |          0 |        145 |        687 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_packing.cpp                                             | C++              |         19 |          0 |         10 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_reciprocal.cpp                                          | C++              |        123 |          0 |         49 |        172 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_relational.cpp                                          | C++              |         75 |          0 |         32 |        107 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_uint_sized.cpp                                          | C++              |         33 |          0 |         11 |         44 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_scalar_ulp.cpp                                                 | C++              |         73 |          0 |         24 |         97 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vec1.cpp                                                       | C++              |        119 |          2 |         37 |        158 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_bool1.cpp                                               | C++              |         80 |          0 |         25 |        105 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_common.cpp                                              | C++              |        283 |          0 |         83 |        366 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_iec559.cpp                                              | C++              |        126 |          0 |         41 |        167 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_int1_sized.cpp                                          | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_int2_sized.cpp                                          | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_int3_sized.cpp                                          | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_int4_sized.cpp                                          | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_integer.cpp                                             | C++              |        441 |          0 |        107 |        548 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_integer_sized.cpp                                       | C++              |        169 |          0 |         48 |        217 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_packing.cpp                                             | C++              |         47 |          0 |         12 |         59 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_reciprocal.cpp                                          | C++              |        131 |          0 |         56 |        187 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_relational.cpp                                          | C++              |        167 |          0 |         39 |        206 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_uint1_sized.cpp                                         | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_uint2_sized.cpp                                         | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_uint3_sized.cpp                                         | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_uint4_sized.cpp                                         | C++              |         31 |          0 |         11 |         42 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\ext\ext_vector_ulp.cpp                                                 | C++              |         76 |          0 |         24 |        100 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_bitfield.cpp                                                   | C++              |        640 |        110 |        187 |        937 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_color_space.cpp                                                | C++              |         62 |          0 |         17 |         79 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_constants.cpp                                                  | C++              |         20 |          3 |          8 |         31 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_epsilon.cpp                                                    | C++              |         61 |          0 |         18 |         79 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_integer.cpp                                                    | C++              |        177 |          0 |         57 |        234 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_matrix_access.cpp                                              | C++              |        281 |          0 |        103 |        384 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_matrix_integer.cpp                                             | C++              |          6 |          0 |          3 |          9 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_matrix_inverse.cpp                                             | C++              |         42 |          0 |         10 |         52 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_matrix_transform.cpp                                           | C++              |         39 |          0 |         17 |         56 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_noise.cpp                                                      | C++              |         63 |          0 |         24 |         87 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_packing.cpp                                                    | C++              |        688 |          3 |        188 |        879 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_quaternion.cpp                                                 | C++              |        227 |         48 |         71 |        346 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_random.cpp                                                     | C++              |        282 |         46 |         54 |        382 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_reciprocal.cpp                                                 | C++              |          6 |          0 |          3 |          9 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_round.cpp                                                      | C++              |        368 |          0 |         91 |        459 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_type_aligned.cpp                                               | C++              |        141 |          1 |         40 |        182 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_type_precision.cpp                                             | C++              |        862 |          0 |        180 |      1,042 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_type_ptr.cpp                                                   | C++              |        283 |          0 |         53 |        336 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_ulp.cpp                                                        | C++              |         74 |          0 |         26 |        100 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_user_defined_types.cpp                                         | C++              |         14 |          9 |          8 |         31 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtc\gtc_vec1.cpp                                                       | C++              |          6 |          0 |          3 |          9 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx.cpp                                                            | C++              |          6 |          0 |          3 |          9 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_associated_min_max.cpp                                         | C++              |          8 |          0 |          3 |         11 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_closest_point.cpp                                              | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_color_encoding.cpp                                             | C++              |         35 |          7 |         10 |         52 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_color_space.cpp                                                | C++              |         14 |          0 |          7 |         21 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_color_space_YCoCg.cpp                                          | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_common.cpp                                                     | C++              |        116 |          4 |         42 |        162 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_compatibility.cpp                                              | C++              |         15 |          0 |          5 |         20 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_component_wise.cpp                                             | C++              |         93 |          0 |         24 |        117 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_dual_quaternion.cpp                                            | C++              |        154 |          7 |         45 |        206 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_easing.cpp                                                     | C++              |         48 |          0 |         18 |         66 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_euler_angle.cpp                                                | C++              |        448 |          1 |         91 |        540 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_extend.cpp                                                     | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_extended_min_max.cpp                                           | C++              |         78 |          1 |         23 |        102 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_extented_min_max.cpp                                           | C++              |          6 |         30 |          4 |         40 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_exterior_product.cpp                                           | C++              |         10 |          0 |          5 |         15 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_fast_exponential.cpp                                           | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_fast_square_root.cpp                                           | C++              |         35 |          0 |         11 |         46 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_fast_trigonometry.cpp                                          | C++              |        419 |         22 |        124 |        565 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_functions.cpp                                                  | C++              |         26 |          0 |         11 |         37 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_gradient_paint.cpp                                             | C++              |         23 |          0 |         12 |         35 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_handed_coordinate_space.cpp                                    | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_hash.cpp                                                       | C++              |         44 |          3 |          8 |         55 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_int_10_10_10_2.cpp                                             | C++              |          7 |          8 |          4 |         19 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_integer.cpp                                                    | C++              |         63 |         20 |         26 |        109 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_intersect.cpp                                                  | C++              |         69 |          2 |         18 |         89 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_io.cpp                                                         | C++              |        153 |          0 |         34 |        187 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_load.cpp                                                       | C++              |          7 |        117 |          1 |        125 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_log_base.cpp                                                   | C++              |         44 |          0 |         11 |         55 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_cross_product.cpp                                       | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_decompose.cpp                                           | C++              |         14 |          0 |          6 |         20 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_factorisation.cpp                                       | C++              |         64 |         12 |         30 |        106 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_interpolation.cpp                                       | C++              |         98 |          0 |         25 |        123 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_major_storage.cpp                                       | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_operation.cpp                                           | C++              |         65 |          3 |         19 |         87 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_query.cpp                                               | C++              |         49 |          0 |         18 |         67 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_matrix_transform_2d.cpp                                        | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_mixed_product.cpp                                              | C++              |          7 |          8 |          4 |         19 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_norm.cpp                                                       | C++              |         65 |          0 |         17 |         82 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_normal.cpp                                                     | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_normalize_dot.cpp                                              | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_number_precision.cpp                                           | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_optimum_pow.cpp                                                | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_orthonormalize.cpp                                             | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_pca.cpp                                                        | C++              |        626 |         42 |         57 |        725 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_perpendicular.cpp                                              | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_polar_coordinates.cpp                                          | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_projection.cpp                                                 | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_quaternion.cpp                                                 | C++              |         82 |          0 |         26 |        108 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_random.cpp                                                     | C++              |         75 |          8 |         17 |        100 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_range.cpp                                                      | C++              |         66 |          0 |         18 |         84 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_rotate_normalized_axis.cpp                                     | C++              |          7 |          0 |          3 |         10 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_rotate_vector.cpp                                              | C++              |         56 |          0 |         22 |         78 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_scalar_multiplication.cpp                                      | C++              |         28 |          0 |         10 |         38 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_scalar_relational.cpp                                          | C++              |        144 |          0 |         31 |        175 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_simd_mat4.cpp                                                  | C++              |        225 |         37 |         63 |        325 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_simd_vec4.cpp                                                  | C++              |         25 |         35 |         12 |         72 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_spline.cpp                                                     | C++              |         82 |          0 |         19 |        101 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_string_cast.cpp                                                | C++              |        117 |          0 |         39 |        156 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_texture.cpp                                                    | C++              |         16 |          0 |          7 |         23 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_type_aligned.cpp                                               | C++              |         87 |          0 |         28 |        115 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_type_trait.cpp                                                 | C++              |          8 |          0 |          6 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_vec_swizzle.cpp                                                | C++              |          7 |          0 |          5 |         12 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_vector_angle.cpp                                               | C++              |         45 |          0 |         15 |         60 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_vector_query.cpp                                               | C++              |         60 |          0 |         23 |         83 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\gtx\gtx_wrap.cpp                                                       | C++              |        135 |          0 |         57 |        192 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_matrix_div.cpp                                               | C++              |        114 |          0 |         40 |        154 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_matrix_inverse.cpp                                           | C++              |        111 |          0 |         40 |        151 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_matrix_mul.cpp                                               | C++              |        115 |          0 |         40 |        155 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_matrix_mul_vector.cpp                                        | C++              |        115 |          0 |         40 |        155 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_matrix_transpose.cpp                                         | C++              |        111 |          0 |         40 |        151 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glm\test\perf\perf_vector_mul_matrix.cpp                                        | C++              |        115 |          0 |         40 |        155 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\FUNDING.yml                                                       | YAML             |          1 |          0 |          1 |          2 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\issue_template.md                                                 | Markdown         |         28 |          0 |         19 |         47 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\pull_request_template.md                                          | Markdown         |          3 |          0 |          4 |          7 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\workflows\build.yml                                               | YAML             |        335 |         64 |        109 |        508 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\workflows\scheduled.yml                                           | YAML             |          9 |          4 |          3 |         16 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\.github\workflows\static-analysis.yml                                     | YAML             |         40 |          2 |          5 |         47 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_allegro5.cpp                                          | C++              |        458 |         93 |         54 |        605 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_allegro5.h                                            | C++              |         11 |         15 |          7 |         33 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_android.cpp                                           | C++              |        225 |         33 |         20 |        278 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_android.h                                             | C++              |          7 |         16 |          6 |         29 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx10.cpp                                              | C++              |        559 |         85 |         71 |        715 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx10.h                                                | C++              |          9 |         11 |          7 |         27 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx11.cpp                                              | C++              |        573 |         86 |         72 |        731 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx11.h                                                | C++              |         10 |         11 |          7 |         28 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx12.cpp                                              | C++              |        815 |        122 |        139 |      1,076 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx12.h                                                | C++              |         15 |         17 |          8 |         40 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx9.cpp                                               | C++              |        399 |         79 |         64 |        542 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_dx9.h                                                 | C++              |          9 |         11 |          7 |         27 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_glfw.cpp                                              | C++              |        946 |        172 |        119 |      1,237 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_glfw.h                                                | C++              |         20 |         22 |         10 |         52 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_glut.cpp                                              | C++              |        217 |         57 |         27 |        301 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_glut.h                                                | C++              |         14 |         20 |          7 |         41 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_metal.h                                               | C++              |         30 |         20 |         16 |         66 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_metal.mm                                              | Objective-C++    |        557 |         72 |        107 |        736 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_opengl2.cpp                                           | C++              |        205 |         79 |         43 |        327 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_opengl2.h                                             | C++              |         10 |         17 |          7 |         34 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_opengl3.cpp                                           | C++              |        668 |        177 |         94 |        939 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_opengl3.h                                             | C++              |         22 |         24 |         11 |         57 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_opengl3_loader.h                                      | C++              |        669 |         89 |         43 |        801 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_osx.h                                                 | C++              |         15 |         19 |         12 |         46 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_osx.mm                                                | Objective-C++    |        802 |        119 |        148 |      1,069 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_sdl2.cpp                                              | C++              |        768 |        154 |         87 |      1,009 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_sdl2.h                                                | C++              |         16 |         16 |          7 |         39 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\imgui\backends\imgui_impl_sdl3.cpp                                              | C++              |        732 |        100 |         87 |        919 |
